id,keyword,volume,position,estimated_visits,cpc,paid_difficulty,seo_difficulty,ranking_url,city,state,country,region,url_location,area,category,business_category,product_category,source,url_keyword,unknown_col,remaining_url_keywords,priority
4639,city forest ghaziabad,18100,12,463,$0,3,19,https://www.mappls.com/place-city+forest-karheda-raj+nagar+extension+road-indraprastha+marg-ghaziabad-uttar+pradesh-201007-1HYOTT@zdata=MjguNjk3MDQ2Kzc3LjM5NDUzNisxNysxSFlPVFQrK25yed,Ghaziabad,,,,Ghaziabad,,,,,mappls.com,city forest,,place karheda raj nagar extension road indraprastha marg uttar pradesh 201007 1hyott zdata mjgunjk3mdq2kzc3ljm5nduznisxnysxsflpvfqrk25yed,1
4640,cafe flying gypsys,18100,10,611,$0.14,2,22,https://www.mappls.com/jr8vss,,,,,,,,,,mappls.com,,,jr8vss,1
4641,bopal ahmedabad,14800,38,38,$0.15,8,20,https://www.mappls.com/direction-from--to-,,,,,,,,,,,,,,1
4642,apmc metro station,12100,12,271,$0.19,11,14,https://www.mappls.com/place-apmc+metro+station-132+feet+circular+road-apmc+complex-juhapura-ahmedabad-gujarat-380055-N48ASU@zdata=MjIuOTk3NzQ1KzcyLjUzNzEyOSsxNytONDhBU1UrK25yed,Ahmedabad,Gujarat,India,West,Ahmedabad,,,,,mappls.com,apmc metro station,,place 132 feet circular road apmc complex juhapura 380055 n48asu zdata mjiuotk3nzq1kzcyljuznzeyossxnytondhbu1urk25yed,1
4643,ashok cosmos mall,9900,11,271,$0.42,13,19,https://www.mappls.com/3f7bbn,,,,,,,,,,mappls.com,,,3f7bbn,1
4644,andhra pradesh intermediate board,18100,24,48,$0,1,28,https://www.mappls.com/hc6pyr,,,,,,,,,,mappls.com,,,hc6pyr,1
4645,ambedkar bhawan,14800,12,271,$0,3,23,https://www.mappls.com/6sbdts,,,,,,,,,,mappls.com,,,6sbdts,1
4646,alleppey bus stand,18100,11,611,$0,2,19,https://www.mappls.com/place-alappuzha+ksrtc+bus+terminal-jetty+road-mullackal-alappuzha-kerala-688011-TBC338@zdata=OS41MDAxNzcwMDAwMDAxKzc2LjM0Njk0NysxNytUQkMzMzgrKw==ed,Alappuzha,Kerala,India,South,Alappuzha,,,,,mappls.com,bus,,place ksrtc terminal jetty road mullackal 688011 tbc338 zdata os41mdaxnzcwmdawmdaxkzc2ljm0njk0nysxnytuqkmzmzgrkw ed,1
4647,akbari gate,14800,30,39,$0.15,3,28,https://www.mappls.com/sya71l,,,,,,,,,,mappls.com,,,sya71l,1
4648,swiggy office address,9900,16,204,$0.03,1,19,https://www.mappls.com/9bn72m,,,,,,,,,,mappls.com,,,9bn72m,1
4649,swach south indian cafe madhapur,9900,32,38,$0.15,6,28,https://www.mappls.com/place-swach+south+indian+cafe-plot+no+4-3-opposite+to+v+convention-siddhi+vinayak+nagar-madhapur-serilingampalle-hyderabad-telangana-500081-eu10dq@zdata=MTcuNDU1MjQ4ODM5OTkzKzc4LjM4NDQyMjkyMTkzNysxNytldTEwZHErKw==ed,Hyderabad,Telangana,India,South,Hyderabad,,Restaurant,Food & Dining,Food & Dining,mappls.com,swach indian madhapur,,place plot no opposite to convention siddhi vinayak nagar serilingampalle 500081 eu10dq zdata mtcundu1mjq4odm5otkzkzc4ljm4ndqymjkymtkznysxnytldtewzherkw ed,1
4650,sony signal bangalore,14800,42,38,$0.15,6,21,https://www.mappls.com/9w8295,,,,,,,,,,mappls.com,,,9w8295,1
4651,sector 54 chowk,14800,15,164,$0.10,6,17,https://www.mappls.com/place-sector+54+chowk+rapid+metro+station-golf+course+road-suncity-sector+54-gurugram-haryana-122002-tczp4e@zdata=MjguNDMyOTA3Kzc3LjEwNDkwMysxNyt0Y3pwNGUrKw==ed,Gurugram,Haryana,India,North,Gurugram,,,,,mappls.com,sector 54 chowk,,place rapid metro station golf course road suncity sector 54 122002 tczp4e zdata mjgundmyota3kzc3ljewndkwmysxnyt0y3pwngurkw ed,1
